Názov školy;Obec;Ulica;PSČ
Gymnázium;Bratislava;Bilíkova 24;84419
Gymnázium;Bratislava;Grösslingová 18;81109
ZŠ a Gymnázium s VJM;Bratislava;Dunajská 13;81484
Gymnázium;Bratislava;Hubeného 23;83408
Gymnázium Ivana Horvátha;Bratislava;Ivana Horvátha 14;82103
Gymnázium;Bratislava;Ladislava Sáru 1;84104
Gymnázium Alberta Einsteina;Bratislava;Einsteinova 35;85203
Gymnázium;Bratislava;Metodova 2;82108
Spojená škola- gymn. J. Hronca;Bratislava;Novohradská 3;82109
Gymnázium Ladislava Novomeského;Bratislava;Tomášikova 2;82729
Gymnázium Jána Papánka;Bratislava;Vazovova 6;81107
Športové gymnázium;Bratislava;Ostredková 10;82102
Spojená škola - GYMNÁZIUM pre žiakov s telesným postihnutím;Bratislava;Mokrohájska cesta 3;84413
Gymnázium Federica Garcíu Lorcu;Bratislava;Hronská 3;82107
1. súkromné gymnázium v Bratislave;Bratislava;Bajkalská 20;82108
Evanjelické lýceum;Bratislava;Vranovská 2;85102
Gymnázium Matky Alexie;Bratislava;Jesenského 4/A;81102
Súkromné gymnázium MERCURY;Bratislava;Zadunajská cesta 27;85101
Gymnázium;Bratislava;Pankúchova 6;85104
Súkromné gymnázium;Bratislava;Kremnická 26;85101
Súkromné gymnázium;Bratislava;Vážska 32;82107
Gymnázium Svätej Uršule;Bratislava;Nedbalova 6;81101
Spojená škola Svätej rodiny - gymnázium;Bratislava;Gercenova 10;85101
Bulharské gymn. CH.Boteva;Bratislava;Záporožská 8;85101
Súkromné športové gymnázium Gaudeamus;Bratislava;Dudvážska 6;82107
Spojená škola - gymnázium;Bratislava;Tilgnerova 14;84105
Spoj.šk. de La Salle - Gymnázium školských bratov;Bratislava;Čachtická 14;83106
Gymnázium;Malacky;1. mája 8;90101
Spojená škola sv. Františka Assiského-Gymnázium sv. Františka Assiského;Malacky;Kláštorné nám. 1;90101
Gymnázium Karola Štúra;Modra;Nám. slobody 5;90001
Gymnázium;Pezinok;Senecká 2;90201
Gymnázium Antona Bernoláka;Senec;Lichnerova 69;90301
Spojená škola s VJM- GYMNÁZIUM A.M. SZENCZIHO;Senec;Lichnerova 71;90301
Bilingválne gymnázium C.S.Lewisa;Bratislava;Haanova 28;85104
Škola pre mimoriadne nadané deti a GYMNÁZIUM;Bratislava;Teplická 7;83102
Súkromné gymnázium ESPRIT;Bratislava;Majerníkova 62;84105
Súkromné gymnázium;Bratislava;Česká 10;83103
Spojená škola sv. Františka z Assisi - gymnázium;Bratislava;Karloveská 32;84104
Súkromné gymnázium EISB;Bratislava;Kalinčiakova 12;83104
Súkromné gymnázium Galileo School;Bratislava;Dudvážska 6;82107
Gymnázium pre žiakov so sluchovým postihnutím;Bratislava;Koceľova 26;82108
Súkr. spoj. škola Cambridge International School,-Súkr. gymnázium;Bratislava;Úprkova 3;81104
Súkromná spojená škola British International School Bratislava s org.zložkami: Základná škola s MŠ a GYMNÁZIUM;Bratislava;Pekníkova 6;84101
Súkromné gymnázium nemecko-slovenské;Bratislava;Palisády 51;81106
Súkromné gymnázium pre žiakov so všeobecným intelektovým nadaním CENADA;Bratislava;Majerníkova 60;84105
Súkromné gymnázium francúzsko-slovenské;Bratislava;M. C. Sklodowskej 1;85101
Stredná zdravotnícka škola;Bratislava;Záhradnícka 44;82108
Stredná zdravotnícka škola;Bratislava;Strečnianska 20;85007
Konzervatórium;Bratislava;Tolstého 11;81106
Cirkevné konzervatórium;Bratislava;Beňadická 16;85106
Súkromné konzervatórium Alkana;Bratislava;Batkova 2;84101
Tanečné konzervatórium Evy Jaczovej;Bratislava;Gorazdova 20;81104
Spojená škola- SOŠ umeleckopriemyselná;Bratislava;Tokajícka 24;82103
